StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080,geometry
NY,New York,3651000,8175133,40.694960689,-73.93138504,834,278,102.40948730468753,106.2243139648438,108.8837084960938,3.814826660156271,6.474221191406272,3.254545454545455,7.345454545454547,17.6,17.6,4.090909090909092,14.345454545454547,14.345454545454547,"c(-73.93138504, 40.694960689)"
CA,Los Angeles,644000,3792621,34.118227789799995,-118.4085001,122,173,107.40661315917973,108.8257720947266,111.77098693847661,1.419158935546875,4.3643737792968835,9.272727272727272,18.045454545454547,33.70909090909091,33.70909090909091,8.772727272727275,24.436363636363637,24.436363636363637,"c(-118.4085001, 34.1182277898)"
IL,Chicago,1714000,2695598,41.837295061499994,-87.68623087,614,296,100.62825195312504,105.04039428710942,108.25230773925784,4.412142333984377,7.6240557861328,2.4363636363636365,9.690909090909091,25.845454545454544,25.845454545454544,7.254545454545455,23.409090909090907,23.409090909090907,"c(-87.68623087, 41.8372950615)"
TX,Houston,4835000,2099451,29.780669139599997,-95.3860034,491,103,104.68566772460943,107.2069146728516,111.23526062011722,2.5212469482421653,6.549592895507786,19.39090909090909,42.74545454545454,75.95454545454547,75.95454545454547,23.354545454545452,56.56363636363638,56.56363636363638,"c(-95.3860034, 29.7806691396)"
AZ,Phoenix,455000,1445632,33.572413869500004,-112.0889952,224,164,115.7519213867188,118.3712652587891,120.9470318603516,2.6193438720702886,5.195110473632795,127.53636363636363,145.38181818181815,163.00909090909096,163.00909090909096,17.845454545454515,35.472727272727326,35.472727272727326,"c(-112.0889952, 33.5724138695)"
CA,San Diego,666000,1307402,32.835563941800004,-117.1197921,143,152,100.76682250976566,103.86434082031255,106.77258666992194,3.0975183105468886,6.005764160156275,1.190909090909091,2.8999999999999995,6.790909090909091,6.790909090909091,1.7090909090909085,5.6,5.6,"c(-117.1197921, 32.8355639418)"
TX,Dallas,4819000,1197816,32.7939804066,-96.76569295,469,152,108.55272338867194,111.03164550781253,114.52654479980474,2.4789221191405915,5.973821411132803,47.4,70.87272727272729,98.69090909090909,98.69090909090909,23.47272727272729,51.29090909090909,51.29090909090909,"c(-96.76569295, 32.7939804066)"
CA,San Francisco,667000,805235,37.7559136611,-122.4409879,58,231,98.43575988769535,97.68573425292973,100.96281311035162,-0.7500256347656205,2.5270532226562636,0.29090909090909084,0.4545454545454545,0.9636363636363635,0.9636363636363635,0.16363636363636364,0.6727272727272726,0.6727272727272726,"c(-122.4409879, 37.7559136611)"
FL,Jacksonville,1235000,821784,30.331982013900003,-81.67522662,710,112,100.07807861328129,102.87956481933597,105.38176147460942,2.801486206054676,5.303682861328127,7.063636363636364,20.29090909090909,48.963636363636354,48.963636363636354,13.227272727272725,41.89999999999999,41.89999999999999,"c(-81.67522662, 30.3319820139)"
IN,Ind.,1836003,820445,39.777122107500006,-86.14578215,639,263,98.53364257812504,102.96301147460943,107.26468078613284,4.429368896484391,8.731038208007803,1.4090909090909094,9.727272727272728,28.745454545454542,28.745454545454542,8.318181818181818,27.336363636363632,27.336363636363632,"c(-86.14578215, 39.7771221075)"
OH,Columb.,3918000,787033,39.98595004840001,-82.98517385,689,267,99.08875427246099,103.83996765136722,108.39214172363283,4.751213378906229,9.303387451171844,1.3090909090909089,10.427272727272726,28.46363636363636,28.46363636363636,9.118181818181817,27.154545454545453,27.154545454545453,"c(-82.98517385, 39.9859500484)"
NC,Charlotte,3712000,731424,35.207872196900006,-80.83007546,724,190,102.1752478027344,107.19445068359377,110.16984497070318,5.019202880859368,7.994597167968777,6.881818181818183,21.427272727272726,46.59090909090909,46.59090909090909,14.545454545454543,39.70909090909091,39.70909090909091,"c(-80.83007546, 35.2078721969)"
