StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long
NY,New York,3651000,8175133,"40.69496068900,",-73.93138504
CA,Los Angeles,644000,3792621,"34.11822778980,",-118.4085001
IL,Chicago,1714000,2695598,"41.83729506150,",-87.68623087
TX,Houston,4835000,2099451,"29.78066913960,",-95.3860034
AZ,Phoenix,455000,1445632,"33.57241386950,",-112.0889952
CA,San Diego,666000,1307402,"32.83556394180,",-117.1197921
TX,Dallas,4819000,1197816,"32.79398040660,",-96.76569295
CA,San Francisco,667000,805235,"37.75591366110,",-122.4409879
FL,Jacksonville,1235000,821784,"30.33198201390,",-81.67522662
IN,Ind.,1836003,820445,"39.77712210750,",-86.14578215
OH,Columb.,3918000,787033,"39.98595004840,",-82.98517385
NC,Charlotte,3712000,731424,"35.20787219690,",-80.83007546
MI,Detroit,2622000,713777,"42.38470156310,",-83.10531788
TN,Memphis,4748000,646889,"35.10462950420,",-89.97890609
MA,Boston,2507000,617594,"42.31557967770,",-71.09165058
WA,Seattle,5363000,608660,"47.62215433800,",-122.3235325
TN,Nashville,4752006,601222,"36.17122299040,",-86.78459448
CO,Denver,820000,600158,"39.76202837430,",-104.8763653
WI,Milwaukee,5553000,594833,"43.06412589250,",-87.96724124
OR,Portland,4159000,583776,"45.53718065400,",-122.6500328
NV,Las Vegas,3240000,583756,"36.22741484380,",-115.2626701
OK,Oklahoma City,4055000,579999,"35.46756428800,",-97.51376155
NM,Albuquerque,3502000,545852,"35.10550257710,",-106.6474477
AZ,Tucson,477000,520116,"32.15672444830,",-110.8770855
MO,Kansas C.,2938000,459787,"39.12394139710,",-94.55412368
CA,Sacramento,664000,466488,"38.56663215670,",-121.4682998
CO,Colorado Springs,816000,416427,"38.86727480770,",-104.7606645
NE,Omaha,3137000,408958,"41.26423091110,",-96.04150764
FL,Miami,1245000,399457,"25.78229589700,",-80.22156478
MN,Minneapolis,2743000,382578,"44.96354079670,",-93.26783453
KS,Wichita,2079000,382368,"37.69056147800,",-97.34293668
LA,New Orleans,2255000,343829,"30.06870099350,",-89.93163179
MO,St. Louis,2965000,319294,"38.63581226150,",-90.24511868
PA,Pittsburgh,4261000,305704,"40.43962974860,",-79.9762615
KY,Lexington,2146027,295803,"38.04232540220,",-84.45872596
AL,Brm.,107000,212237,"33.52756637730,",-86.79881747
DC,Washington,1150000,601723,"38.90992414260,",-77.01472057
UT,Salt Lake City,4967000,186440,"40.77784894650,",-111.9312208
MT,Billings,3006550,104170,"45.78931026090,",-108.5488278
SD,Sioux Falls,4659020,153888,"43.53880675370,",-96.73134959
TX,El Paso,4824000,649121,"31.84811235060,",-106.4320219
ID,Boise City,1608830,205671,"43.59843438970,",-116.2308852
SC,Charleston,4513330,120083,"32.81369618920,",-79.9673819
ND,Fargo,3825700,105549,"46.86524578320,",-96.82898823
TX,Laredo,4841464,236091,"27.54825724750,",-99.48677973
MS,Jackson,2836000,173514,"32.31627222000,",-90.21245286
FL,Orlando,1253000,238300,"28.48006467710,",-81.34524112
GA,Atlanta,1304000,420003,"33.76265246830,",-84.42314191
